Day_of_Month,LoginVolume,PaymentVolume,ChnagePlanFeatureVolume,ProfileUpdateVolume,PaymentPlanChanges
1,2049492,299987,31088,42089,5407
2,2063846,251108,34094,41669,5489
3,2609068,377605,36936,53805,7018
4,2329361,330081,34334,50552,6156
5,2183874,280701,31142,46747,5440
6,2237405,291797,31207,46369,5707
7,2846041,438807,38075,55342,7224
8,1977349,241134,34061,42714,5058
9,1847126,183133,36197,36301,3985
10,2797833,328247,40082,53652,6377
11,3447322,290265,35941,52844,6644
12,3064263,269220,34710,47940,5927
13,2750509,331545,36541,51603,6715
14,2862974,501010,38453,52422,7556
15,2485649,252237,33853,40086,4643
16,1547030,185797,34942,34719,4050
17,2344295,333023,41389,54484,6150
18,1990989,300011,38577,56174,5934
19,1875806,303885,39373,55483,6657
20,1505695,330820,39823,54519,7133
21,1143130,405691,39318,53048,7285
22,725240,216602,34709,39795,4829
23,762566,176747,35598,36395,4624
24,951530,316354,39832,57775,6758
25,963764,314629,39052,59430,6792
26,899051,279809,34687,51078,5641
27,1978246,307204,34753,48818,6249
28,1094695,487672,38010,55535,8772
29,773930,262270,35068,43113,5737
30,622140,230283,35017,40291,5260
1,981451,449086,39887,60155,8491
2,808261,344368,37285,56398,7507
3,968914,378080,40588,56980,7901
4,740840,238320,32896,36170,4934
5,827177,399167,37588,55480,7077
6,599197,235769,32722,43862,5133
7,641061,201033,34300,40432,4726
8,1277451,335899,35686,56388,6846
9,2605088,309960,34262,55675,6749
10,4893482,248441,28189,54717,5819
11,3006712,308285,33232,70376,7259
12,1818119,428153,32819,53834,8306
13,1244697,239536,30528,39738,5395
14,1775187,192249,29261,36199,4701
15,1847390,352238,31404,53450,7209
16,1722988,295066,29557,52706,6865
17,1656401,299385,31186,54515,6311
18,4974295,253802,25234,42335,5778
19,1408234,402258,30537,49664,7779
20,1381533,220473,29081,37773,5384
21,1919197,271837,29623,47612,5300
22,2128362,292494,33584,53115,6695
23,2255485,321002,32933,52023,6885
24,2308662,458008,30654,48880,7468
